QFP64_14, Square Quad-side flat pack;QFP64_14
QFP80_14, Square Quad-side flat pack;QFP80_14
QFP100_14, Square Quad-side flat pack;QFP100_14
QFP120_28, Square Quad-side flat pack;QFP120_28
QFP128_28, Square Quad-side flat pack;QFP128_28
QFP144_28, Square Quad-side flat pack;QFP144_28
QFP160_28, Square Quad-side flat pack;QFP160_28
QFP208_28, Square Quad-side flat pack;QFP208_28
QFP240_32, Square Quad-side flat pack;QFP240_32
QFP304_40, Square Quad-side flat pack;QFP304_40
TQFP32_7, Square Quad-side flat pack;TQFP32_7
TQFP44_10, Square Quad-side flat pack;TQFP44_10
TQFP52_10, Square Quad-side flat pack;TQFP52_10
TQFP64_10, Square Quad-side flat pack;TQFP64_10
TQFP64_14, Square Quad-side flat pack;TQFP64_14
TQFP80_12, Square Quad-side flat pack;TQFP80_12
TQFP80_14, Square Quad-side flat pack;TQFP80_14
TQFP100_12, Square Quad-side flat pack;TQFP100_12
TQFP100_14, Square Quad-side flat pack;TQFP100_14
TQFP120_28, Square Quad-side flat pack;TQFP120_28
TQFP128_14, Square Quad-side flat pack;TQFP128_14
TQFP128_14_EP, Square Quad-side flat pack;TQFP128_14_EP
TQFP128_28, Square Quad-side flat pack;TQFP128_28
TQFP144_28, Square Quad-side flat pack;TQFP144_28
TQFP160_28, Square Quad-side flat pack;TQFP160_28
TQFP208_28, Square Quad-side flat pack;TQFP208_28
TQFP240_32, Square Quad-side flat pack;TQFP240_32
TQFP304_40, Square Quad-side flat pack;TQFP304_40
QFP64_R, Rectangular Quad-side flat pack;QFP64_R
QFP80_R, Rectangular Quad-side flat pack;QFP80_R
QFP100_R, Rectangular Quad-side flat pack;QFP100_R
QFP128_R, Rectangular Quad-side flat pack;QFP128_R
LQFP128_R, Rectangular Quad-side flat pack;LQFP128_R
ZIP9, Zig-zag in-line package;ZIP9
ZIP12, Zig-zag in-line package;ZIP12
ZIP16, Zig-zag in-line package;ZIP16
ZIP18, Zig-zag in-line package;ZIP18
ZIP20, Zig-zag in-line package;ZIP20
ZIP24, Zig-zag in-line package;ZIP24
ZIP28, Zig-zag in-line package;ZIP28
ZIP40, Zig-zag in-line package;ZIP40
ACY100, Axial non-polar component (typically resistor or capacitor),;ACY100
ACY150, Axial non-polar component (typically resistor or capacitor),;ACY150
ACY200, Axial non-polar component (typically resistor or capacitor),;ACY200
ACY300, Axial non-polar component (typically resistor or capacitor),;ACY300
ACY400, Axial non-polar component (typically resistor or capacitor),;ACY400
ACY500, Axial non-polar component (typically resistor or capacitor),;ACY500
ACY600, Axial non-polar component (typically resistor or capacitor),;ACY600
ACY700, Axial non-polar component (typically resistor or capacitor),;ACY700
ACY800, Axial non-polar component (typically resistor or capacitor),;ACY800
ACY900, Axial non-polar component (typically resistor or capacitor),;ACY900
ACY1000, Axial non-polar component (typically resistor or capacitor),;ACY1000
ACY1100, Axial non-polar component (typically resistor or capacitor),;ACY1100
ACY1200, Axial non-polar component (typically resistor or capacitor),;ACY1200
ACY1300, Axial non-polar component (typically resistor or capacitor),;ACY1300
ACY1400, Axial non-polar component (typically resistor or capacitor),;ACY1400
ACY1500, Axial non-polar component (typically resistor or capacitor),;ACY1500
ACY1600, Axial non-polar component (typically resistor or capacitor),;ACY1600
ACY100P, Axial polar component (typically capacitor),;ACY100P
ACY150P, Axial polar component (typically capacitor),;ACY150P
ACY200P, Axial polar component (typically capacitor),;ACY200P
ACY300P, Axial polar component (typically capacitor),;ACY300P
ACY400P, Axial polar component (typically capacitor),;ACY400P
ACY500P, Axial polar component (typically capacitor),;ACY500P
ACY600P, Axial polar component (typically capacitor),;ACY600P
ACY700P, Axial polar component (typically capacitor),;ACY700P
ACY800P, Axial polar component (typically capacitor),;ACY800P
ACY900P, Axial polar component (typically capacitor),;ACY900P
